SZ_861	SZ_867	SZ_862	SZ_865	SZ_866	SZ_868	SZ_869	SZ_871	SZ_873	SZ_872	SZ_863	SZ_864	SZ_870
AAGAB	5.18847001112614	5.22142651620953	5.43201118817299	5.05930790150235	5.0070812605577	5.51681794327695	5.24343647900358	5.40362765520729	5.31883425972904	5.10364253344232	5.4841198916946	5.2046866105528	5.25165989955094
AAK1	8.29684566309573	8.12771609865665	8.09113372422664	8.49189010718873	8.03778389294948	8.16976935062315	8.19868459026524	7.97265701276834	8.03885304368381	8.35405621519527	7.80768184043387	8.1689860523977	8.1806283440698
AAMDC	3.82952169464667	3.59542521776787	4.14868408272069	3.72835450091181	3.53291808317224	3.81892736186793	3.79661806046521	3.77455659935941	3.634753510108	3.72105126927075	3.54171452037945	3.79669768301166	3.81817252609558
AAMP	4.48211773304202	4.77986279843497	4.78485261368245	4.57632274312274	4.96022199777547	4.46641935176538	4.75349837650955	4.5456256766004	4.73269936700278	4.54711991179457	4.53323068177382	4.53918124957701	4.62243739882637
AANAT	0.355296657608559	0.378015711328869	0.229290830846223	0.237680598411089	0.307678687150926	0.619476954757194	0.393332215235414	0.18218015442395	0.33901308400809	0.459929782734332	0.160593570450228	0.329616466640497	0.261575686844204
AAR2	3.6502700886557	3.52513449956975	3.58957081711588	3.41396334879806	3.74485487657892	3.60706947998788	3.64080156515294	3.35688433175683	3.45861875292763	3.7401943907592	3.14472006186094	3.67059779770332	3.51986406582243
AARD	0.623862463313968	0.635115710100909	0.256195069342256	1.06226913786657	0.741685253006387	0.174774360663952	0.54683924491344	0.387240974595433	0.499829328720674	0.720930845754941	0.358786653030102	0.533428138523353	0.5864825971702
AARS	6.74145084280198	6.69232451727722	6.88664046090568	6.49323507034683	6.90740905205851	6.66500296208239	6.74498794966229	6.80775485167564	6.72860305262256	6.7006631252287	6.75003235690899	6.83694106045266	6.75113872258222
AARS2	3.89165931466681	4.01999128497568	3.79565815763759	3.8179409374641	4.22287438426081	3.84256545191077	3.94814909161303	3.88948406266071	3.98803418511297	3.96743465915941	3.94712050809316	3.96075746882354	3.89350269384916
AASDH	4.68259891841038	4.61350095025494	4.66920412028959	4.59948663089961	4.58304494137444	4.75845996071497	4.66197639749594	4.60121896179106	4.61045460380862	4.69365403028063	4.54414383088188	4.66815110307882	4.63181504156415
AASDHPPT	5.94141666668053	5.81358767888656	5.74012128522258	6.03424928271851	5.65819187832645	5.88486840467831	5.77540873087073	5.97942096616244	5.84564886870572	5.88264728030348	6.055884424287	5.89134846440056	5.90416670720794
AASS	5.11348047028344	5.29973723682554	5.47493021412924	5.20531028860931	5.37997068341817	5.13773358522023	5.34939441678546	5.11353473549872	5.26017428382437	5.1476940770179	5.01521360616893	5.12591763413146	5.22438606111501
AATF	5.10070620514722	4.97015423397218	5.03898919379908	4.9031086942605	4.90356448288652	5.22434672799092	5.00213522782674	5.11877620844096	5.02127336170599	5.0612476608009	5.12995931632038	5.1127148963974	5.03628238545928
AATK	6.51764130783301	6.82517208078415	6.46394127821792	6.31523152604195	7.28401349409315	6.44599650936373	6.69602136656643	6.56903580992984	6.77362693187948	6.65970046920772	6.67382501455088	6.68991991934207	6.56145362880832
