SZ_861	SZ_867	SZ_862	SZ_865	SZ_866	SZ_868	SZ_869	SZ_871	SZ_873	SZ_872	SZ_863	SZ_864	SZ_870
ABCA13	5.12283689171386	3.49919949880999	3.90739818369483	3.19015166279554	4.70445869012589	5.08568299679185	4.37073227184698	4.01188421587744	4.02487751720934	4.9748145780598	4.30437459866344	2.69274645761198	2.3130505260807
ABCA2	7.8733483963067	8.91317140583436	8.56096652798437	8.32569730141169	8.79365113517137	8.43443316238992	8.47785766143622	8.38429603134586	8.66249687799766	7.33907954285261	8.40106484897563	10.1459305484597	8.06049129206865
ABCA3	7.28533805273238	7.26295474009142	6.6231527823569	6.65609928699535	7.17924367019115	6.96717551414991	7.49130062787225	6.63303104545591	6.41557060648747	6.64268326859002	6.75438397834623	6.83424258487806	7.28533805273238
ABCA4	0.58502257950834	1.40563907059942	0.273178127959858	0.609525878125032	0.7272202539676	0.352060285569336	1.66926150401426	1.93271538999305	0.681968665282662	3.37495028542314	0.733667309320027	1.0013487504376	1.29735654082562
ABCA5	6.99425009575952	6.74668032818612	6.89396372764276	6.27886829218539	6.63763171956295	6.80810445908753	6.1422305585131	6.62603980842945	6.48393692526624	6.84718756123179	6.97389578743301	6.73379518826996	6.62521625167163
ABCA6	4.4183799279132	4.67728277660309	4.23495472268017	4.7321170625644	4.57540887914567	5.49200343224924	3.94842368612065	4.19441641201905	6.18461027215411	4.81203170916169	4.98095463980266	3.96405474621937	4.8759662015675
ABCA7	3.37433504155129	3.15441029278448	3.38190295995647	3.09377844200208	3.59791904188625	2.93012854286354	3.8137252007849	2.64398959020876	2.1875782872785	3.08059763009915	3.04591936221824	3.0469840465029	3.07912531924543
ABCA8	5.24859481618217	6.63571640643813	6.88479481465982	6.45805763397016	5.58320739946205	6.6714507042474	5.96707292769719	6.39964882350835	7.32276973574802	5.24666766272659	6.56105826035201	8.4702013717694	6.00466115095798
ABCA9	4.49732776632104	4.08808796287366	3.99733559296202	4.51676251145057	4.7241549602874	4.56600237581339	4.47214384466813	5.10463089436795	5.00556776485396	4.8517589518529	5.36803938295549	4.21345934829674	5.15825150220558
ABCB1	5.25958843376609	3.98706418416407	5.19183091679641	5.92044722673794	5.50182871245245	5.91631151212512	6.34553420104997	6.39402025051047	5.37289051831703	4.67827836676297	5.74592803911986	5.42470489491892	5.70353095497494
ABCB10	4.56842072132995	4.37970956784754	4.56105939630365	4.51173075168618	4.40014523556592	4.58566718193972	4.43680963022879	4.37335661170659	4.69334212058995	4.34087746175213	4.48304846752887	4.89867653791891	4.20301066733523
ABCB11	0.40881006819099	1.15007910676588	0.410306691154465	1.56989725950931	0.6606166679461	0.483685145150899	0.596238370040563	0.365251203972016	0.728726145157129	0.800806314550139	0.085667605363261	0.810801813624045	0.479238597019147
ABCB4	1.80593059778479	1.15007910676588	1.39870365339313	1.50017790089987	0.797167692861836	1.08646742454692	0.897250569409151	1.60339133809422	1.0510169178846	1.31673726448796	1.31183291350789	1.04949573394022	1.29735654082562
ABCB6	0.0301375357987472	0.11858272380536	0.0301375357987472	0.0140784567760159	0.0140784567760159	0.0368644912592287	0.0301375357987472	0.0281104671432627	0.0163116376540583	0.0221874867541611	0.085667605363261	0.0119546289477978	0.0762839115826164
ABCB7	4.72882671516353	4.53032783261806	5.08762208337743	4.4134613540032	4.23427814451267	4.63014085464427	4.46386643786828	4.80419222278343	5.15551230590379	4.55366398198444	4.66077021020252	4.69624526840985	4.40916295230073
ABCB8	4.18712234042163	4.55872348005088	4.24170129385162	4.81056940710273	5.30790345662184	4.81604957781391	5.0456830299841	4.64647314429996	4.77266044089461	4.81967594763995	4.68665790671021	5.15635795933288	4.45433393662613
ABCB9	4.82913184125488	4.72049333777073	4.42368459516188	4.65657639203256	5.378333975898	5.26043217171237	5.64444578343547	4.79861640319431	4.6823764029657	4.75669486342547	5.00018021827827	4.73972614149044	4.62904708914123
