SZ-811	SZ-821	SZ-822	SZ-809	SZ-824	SZ-813	SZ-831	SZ-833	SZ-835	SZ-856	SZ-825	SZ-826	SZ-855
ABAT	7.79273283483448	7.61171790574072	7.79316706144061	7.60534533484605	7.6605009673803	7.48835480990036	7.42569518815172	8.07675812589451	7.47277217950009	8.36958172322811	6.76964134226618	7.44658698790271	7.85996602599478
ABCA1	6.79042019353086	7.08319603313126	6.88824103480963	5.93039436438093	6.1718586559002	6.26513030465077	7.20565682499548	6.71603106255777	6.56471786399778	6.61522053664732	7.77696488724678	5.07887366172555	6.42837242764007
ABCA10	5.6116680643106	5.69664956964104	5.18598404962047	5.32238137219545	5.59926162062939	5.75473238672405	5.20227422712239	5.11542016906761	5.97865074423287	5.31473409961972	5.1473054407651	5.42107418715105	4.69032207815405
ABCA12	1.04971855062998	0.774696019728876	0.559820630338074	0.497278008356547	0.532242360715877	0.368528891142842	0.954957051757217	0.487016461103879	0.774696019728876	1.45771711955503	0.356579427873281	0.754142857050355	0.841823202398951
ABCA13	2.70160310452192	4.04146354642342	3.12342192258181	1.89707326328596	3.07071968770908	4.18321469026846	4.60699776172191	3.98374434155272	0.94338970992482	2.52042067773516	3.28669375060017	2.90576041101791	2.97719696926684
ABCA2	8.80495056164398	9.42838254894833	9.22613915312337	8.32324831881719	8.80495056164398	8.10812601440181	8.96757838828798	8.7327069759127	8.59533726652468	8.50534745353102	8.80783236847396	8.31665821661696	8.52140434811412
ABCA3	6.99048228289692	6.99048228289692	6.90135392465863	6.79344709885555	7.15199768902779	7.13338682862578	7.3021482160398	7.33538021302711	6.5248621527797	6.89939383005458	6.87346681256179	7.32545024575505	7.3277028175441
ABCA4	1.67342982068728	0.924373185966772	0.717742982275974	0.725387673573394	0.735021777425989	0.831117234914158	0.870384900759733	0.889418794518809	0.83733319544536	1.92378187342556	1.06623220070967	0.904138271813741	0.983288427314953
ABCA5	7.01046611496334	6.84367681705597	6.64772751362105	6.62363614508777	6.90411721106388	6.92105162822319	6.54826148898014	6.60865077320681	7.26794918853983	6.93855414537684	6.57909424320627	6.82706333645316	6.71837226781571
ABCA6	4.6877840744262	5.18306963211401	4.25369303087523	5.00177636729969	4.97913065668601	5.36854563792829	4.26643557218773	4.09470385654719	5.63482590569918	4.42763683885654	4.48934977863252	4.6067661196606	4.29804536403655
ABCA7	3.72605001209595	3.77889187734529	3.21971399692658	3.34817423421873	3.73715947101887	3.17430511179903	4.1033222486616	3.88938086093332	2.88718981857657	2.94736716961643	2.60722216993086	4.36688181112212	3.33008815068452
