SZ-811	SZ-821	SZ-822	SZ-809	SZ-824	SZ-813	SZ-831	SZ-833	SZ-835	SZ-856	SZ-825	SZ-826	SZ-855
ABCA12	0.934470857011556	0.678487339558749	0.468401703348612	0.694583962107535	0.911225569931998	0.614994302277288	0.728141657799127	0.554043714978194	0.640030773741222	0.821332210210267	0.73402515529899	0.705281190917943	0.9241981631983
ABCA13	3.25713935538994	3.18234554014477	3.59580093762418	2.18850051458665	2.83316585622253	4.22062886332513	3.16547921914738	2.77709737350566	2.78179487719903	2.95008949909139	3.15920234620275	3.42187925867982	2.70857619549093
ABCA2	8.66964321407993	8.65477075139835	8.98097972564312	8.74085147216546	8.57296714685403	8.61804222673283	8.75975568305098	8.72895717486768	8.70608007520947	8.54141870473684	8.6510956497241	8.71247706677053	8.80562328480674
ABCA3	7.16822312466743	6.96211249786215	7.07530275631974	6.72612786686199	7.08141555313612	6.99866899067709	6.99865063065219	7.04010740673322	6.95664082826071	6.9945708604553	7.07654266807878	7.2579886736983	7.21320253732071
ABCA4	1.43538917086411	0.922681674776794	0.671818342889835	0.952132772040015	1.29760677905952	0.989295391813322	0.801610233984949	0.865442101553035	0.613841847354065	1.34587664572634	1.14019917979697	1.09544009765438	0.95031610131806
ABCA5	6.7791769495686	6.85449250972106	6.54099505558553	6.62897394016194	6.91768714542867	6.94238755473335	6.84284360481503	6.73537028161653	6.91528872385425	6.86906285273988	6.81726208228919	6.79520297786944	6.7998771952105
ABCA6	4.37798034243347	5.24730705859195	4.12392916968892	4.8355892823426	4.65248605987692	5.30958641282266	4.85726460622955	4.37645194196033	5.09085518085344	4.81223833718534	4.66822559986156	4.43171859726211	4.50813024584089
ABCA7	3.57778151164519	3.42302085016989	3.53938603001167	3.19480276764105	3.44383834121966	3.27718444903773	3.33920595499091	3.54175997024935	3.35632698379688	3.38828580219258	3.51996862806208	3.78975995431502	3.72442568959786
ABCA8	5.98956597258867	6.41435174823726	6.75576501904277	7.02027845035984	6.11522977742385	6.63593055061491	7.01611172776223	6.01407720502691	6.82794059379535	6.01318258364306	6.01483457417073	5.52195405493602	6.32162436664739
ABCA9	4.23653097055959	4.96784412870862	3.89228774341072	4.49665969098115	4.52530680314841	4.91825512437074	4.5028076927145	4.37087594642729	4.8230103931232	4.67133135078475	4.54962592050602	4.44887883706362	4.3502762980339
ABCB1	5.20365824028304	5.34114536996476	5.46301600048646	5.23980748117785	5.26397355446351	5.81837320116744	5.86342133319901	4.87089976012497	5.63735569251155	5.05958747092356	5.10051602219933	4.88165842746055	5.41374273264625
ABCB10	4.37776054781543	4.60447028898223	4.44688222115166	4.51941567653249	4.41091484553555	4.60270241800784	4.45875552028889	4.49581649373194	4.53555393403165	4.49442208978965	4.49279053645209	4.48061131827569	4.37451337456499
ABCB11	0.642780710017831	0.770026437675402	0.654460822065584	0.58891593719973	0.755800549221077	0.876839239628501	0.368301698294037	1.15780969963531	0.601568135945321	1.0098915145514	0.939034955245964	1.01545459938035	0.170600974412887
ABCB4	1.19298851227495	1.59320142465769	1.28883597852436	1.65360150557809	1.08052002728966	1.05337990500796	0.978844444839662	1.51698022504361	1.20949412272784	1.3582333561415	1.40144456274652	1.53960675905077	1.29941664826911
ABCB5	0.0106977500362994	0.104017634011232	0.0522784334043845	-0.0214510079270241	0.0298086408798589	0.135347048002005	0.0514786067917157	0.0760459376046433	0.0956074547308406	0.0450769852757226	0.0698498267837079	0.106970107214105	0.0315523506351543
ABCB6	0.0468347617585992	0.0541510687007564	0.126119434485487	0.143548606863637	0.035538451346687	0.00172643965082243	0.0576023075481157	0.104764719828916	0.0622463197565418	0.0476227634329112	0.0577664433993058	0.052347991241037	0.0656274799554415
ABCB7	4.4971075847926	4.73283362279309	4.77171536882597	4.83462924847673	4.57915324286885	4.81107883307494	4.67833833231563	4.78995240264748	4.7521603626778	4.69260260760469	4.67002716260891	4.56930902449349	4.39034602010342
ABCB8	4.81628297227152	5.19960634878172	4.65970284049011	4.8993891764788	4.72490876424156	4.93751073357993	4.61301468161617	4.86822905813092	4.78251151265941	4.95394362132431	4.96713455909536	5.10703962048672	4.83640855844452
ABCB9	4.60754071880923	4.85096680712459	4.4335901816793	4.55445774907465	4.78576261277956	4.72379501957544	4.768297167706	4.701429074724	4.96256711784805	4.70211100123683	4.7228921922819	4.78891621766369	4.91443388667919
