SZ_812	SZ_841	SZ_837	SZ_810	SZ_840	SZ_814	SZ_847	SZ_849	SZ_851	SZ_860	SZ_838	SZ_839	SZ_858
ABCA4	0.755812129531162	0.386690205220487	0.289482348917625	0.310524724739521	0.567045620556409	0.439508905036844	2.67087807213672	0.508576758932498	0.268921769560676	2.06913819181092	0.988326710498851	0.368433431018548	1.53803555707782
ABCA5	7.0968852364981	6.60311914475667	6.87118272424834	6.73745879343909	7.07029828677964	6.82407261556883	6.66162570254291	7.2070514542178	7.00826088069516	7.10611270910216	7.17960603393714	7.15714926782033	7.0542720541657
ABCA6	4.30747345111504	4.05663693154409	4.12867891688888	4.75718882287858	4.65410679305622	4.56435448998941	4.25894253263266	4.02616789969635	4.92024189590858	4.31727240455522	4.67590024858705	4.75980444066391	4.36301970856016
ABCA7	2.96038289176816	2.78876693709262	3.46223010744991	3.17378641408014	3.52123177105926	3.04398583953886	3.52139912897934	3.15999408925175	3.23501406754641	3.17864734798709	2.4585031178241	3.61334084531578	2.97890642682892
ABCA8	5.16333593779133	5.56566427314184	6.91048056972659	6.4923747689907	5.92082813647844	4.9333414693685	6.18217078800739	5.45146853637731	6.19574250849908	4.72812059731242	5.24537393896394	4.99889832456861	6.25089815763688
ABCA9	4.41408749462441	3.32433516559491	4.01920934339168	4.34806140590366	4.44485662749692	4.41795214561723	4.37373178351738	4.00902898228034	4.93906084766299	4.35825919855752	4.36176377906639	4.67198743212542	4.29078809150608
ABCB1	5.29885339207839	5.48723623238254	5.35713286418078	5.62359486764952	5.11534697740592	5.78742890994665	6.03964061326788	5.16765963292481	5.22568497225433	4.6470241831753	5.05815288142583	5.30678528936432	4.5389378872381
ABCB10	4.41775678440953	4.01298127506541	4.39434446864099	4.43061609213411	4.37780032793431	4.40735911862318	4.40947982197896	4.5972397759153	4.27977257493671	4.33565887187763	4.40634970736657	4.23684733713575	4.20667352604645
ABCB11	0.627367806926992	0.386690205220487	0.240130898124913	0.381801213550953	0.337876478176325	0.286674172251797	0.469347263190605	0.420067969412006	0.81486505735134	0.663218039780509	0.107652631134277	0.130624501735515	1.2537607392064
ABCB4	1.40026483927085	1.63402422131505	1.43409463052695	1.26448747046493	1.17811757208816	1.10008639051914	1.19878039648054	1.43759260913415	1.01539822525139	1.12558326793993	1.59696651517966	1.13471740224641	1.21915078108996
ABCB7	4.65678492452338	4.42067430428305	5.05655147468445	4.60502925877054	4.79049945250648	4.72621474718265	4.74049639620251	4.90466015888211	4.66803418080314	4.36331267024184	5.04717920877408	4.22372367003666	4.4217176783975
ABCB8	4.57692536836797	4.07201930859281	4.1638087376286	4.71445247829397	4.61999384733036	4.95263639377515	4.87069157908055	4.54774297043211	4.44166782436305	4.77360625509267	4.50395162548447	5.03428863680601	4.34939709331111
ABCB9	4.78516270090701	4.86078796036115	4.36746717395402	4.88481691401594	5.08172528604132	5.13220752065355	5.01311924165802	4.93578122060974	4.66983742146003	4.83191863459218	4.64365537397565	5.31096136061938	4.51987105268204
ABCC1	4.87591335850497	4.71602080316688	4.81595585323843	5.19720029013714	5.19014536404106	4.9249478947452	5.46752616038247	5.09626566447446	4.59771786192516	4.76800608344226	4.73783563554948	5.33227021937218	4.38659753429987
ABCC10	3.98523282655728	2.42770587436346	3.68507804597314	4.20322920202456	4.13888131643546	4.42138451230281	4.20010730073205	4.27805911253225	3.84243935419509	4.00963382207907	3.72636518813219	4.24888069293228	3.80687891236817
ABCC11	1.05877221172091	2.10737211436748	0.75440833771322	0.912534194994274	0.985468748855036	1.0333219728152	0.988762087008527	0.625236733201268	1.26776642090329	1.22948383864035	0.81009248577588	1.03775475781193	1.04994400289932
ABCC12	1.81359870260911	0.540691618200554	0.679372200918689	1.1354297927953	1.10008639051914	1.89028463521331	1.69631432694078	0.259597900448372	2.02898455593625	3.05543152818923	0.520954927612231	2.38978749095513	3.06970948454489
ABCC2	0.906922947294296	0.540691618200554	1.18553322870008	1.02370048827694	0.663218039780509	0.565415690993287	1.22365114340076	0.906922947294296	0.81486505735134	0.634696452010122	0.897637490536089	0.709406974258983	0.592961558624301
ABCC3	0.420949971013894	0.223696502016534	1.22194617127392	0.528447288751516	0.103907827932913	0.034010647422165	0.268921769560676	0.160213755277603	0.624207119675412	0.518123818388899	0.596248212693753	0.130624501735515	0.416040769654869
ABCC4	5.63985188737946	5.21833874836249	5.82933097497906	4.91888300336079	4.70789144277751	5.50207784733456	5.26948124933929	5.95271572997556	6.13674879900837	5.32673001529343	5.36020824252089	4.14833489605478	5.6980556288761
ABCC5	6.60274335605205	5.98138085710405	6.58481078848654	6.97788834897372	6.95369310121222	6.86242624546705	7.02552729006023	6.75101899064911	6.64610770090458	6.72721986168477	6.6540775228846	7.09601327545695	6.51000517579277
ABCC6	1.04133649311174	0.937798355127156	0.85639339211009	0.528447288751516	0.591792066568118	0.700437298680218	0.384290626044791	0.543322310193727	0.439508905036844	0.555230609388926	0.578284254889554	0.368433431018548	0.576352704449855
ABCC8	5.53060893853295	4.73216460027223	4.68649761685963	5.87467851163553	6.03792181075305	6.04526027199542	6.43127496772255	5.68931198577032	5.14289378859945	5.23298646233556	5.68097453258231	5.94663631657332	4.39378527041849
ABCC9	4.74931947137594	4.60696766437482	5.05266384495553	4.07240563298519	4.37905466643487	4.43852935060833	4.30564634356032	4.36835467033048	5.01465963494833	4.20391575752382	4.8471788945667	3.58354846587701	4.91692051993119
ABCD1	1.83812112125242	0.682197787965973	1.58138689270342	2.05790349040006	2.09181060617487	2.03062699771489	1.93354393954671	1.93230577569691	1.70438961070847	1.62703079171066	2.03502214046952	2.23363048721444	1.46304949218737
