SZ_812	SZ_841	SZ_837	SZ_810	SZ_840	SZ_814	SZ_847	SZ_849	SZ_851	SZ_860	SZ_838	SZ_839	SZ_858
ABL2	7.26049772972834	7.17026660506751	7.33519837699591	7.21098902402002	7.36146234325853	6.93083268345199	7.14639427585407	7.19937882023246	7.12675594986696	7.28530005577033	7.10022772136275	7.28229681756128	7.09142024297953
ABLIM1	8.10136011703726	7.94640255360384	7.88102156060947	7.98509455783423	7.7977308394532	8.07903947999293	7.88356128972257	8.15227552150951	8.23188780728275	8.05749245816791	8.34920524687408	7.63546891280869	7.60186348334611
ABLIM2	6.07614333057215	5.96184959655165	5.73427684606187	5.63544657834065	5.95857790733649	6.20716344277264	5.79371176421586	5.97393767471857	5.99420837393781	5.96367978337794	5.89418786880081	6.15046811875394	5.92706904369815
ABLIM3	5.83792701230953	5.67380313164579	5.70057420666915	5.92663757229454	5.62910398686565	5.84749743760331	5.59195215045142	5.64066619560879	5.59337024141226	5.70702812559995	5.8252538397042	5.44333931272919	5.69880339620208
ABR	8.7549906638943	8.59700651846615	8.20847600535152	8.41945551231956	8.47374420663774	8.92206339082738	8.39384145517496	8.64122584188286	8.60485498884659	8.55935057961495	8.66440398934981	8.66806137581646	8.65782623447116
ABRACL	2.97109285192301	3.24559663234824	2.96166999495456	2.89760119424573	3.19023166725426	3.27176478001669	3.30687858807361	3.13933177648499	3.14882296297911	3.02620508330724	2.90108293070986	3.63504206879108	3.57347444907269
ABT1	2.7979310614421	2.57568104848393	2.46779606836531	2.623668378804	2.72986389702414	2.49177454939013	2.4148104083772	2.59561914370179	2.47499578384736	2.69070415698087	2.63281759311085	2.67923011843632	2.57493870468332
ABTB1	4.37543446307207	4.3760716539642	4.19851569470286	4.11910603139867	4.55321948361069	4.51758747078513	4.31293379195056	4.15366393590905	4.33362663872128	4.42721575920109	4.48654299966587	4.43932577065158	4.31932924530986
ABTB2	3.24456255545847	4.20123912830156	4.62723332221597	4.51351502566138	4.09082235770234	3.75927807500194	4.97620784843472	3.83026395932071	4.21768740510331	3.8994373650934	4.22818882505669	3.80548297124262	4.43478913425083
AC002310.13	2.12916163235626	2.19451570689305	2.28506531431858	2.26810246906895	2.2498833447871	1.99532148613696	2.23742137069089	2.18163820548659	2.0306827573455	2.12959369603439	1.90090247900533	2.40775449919754	2.42138478175305
AC002365.1	0.127265581481062	0.188430022394785	0.159065858957936	0.0497128670597884	0.126071339538462	0.292882730927165	0.200803279782841	0.186327494594625	0.233134806403961	0.134498542971685	0.112304711972312	0.23520970761818	0.192454885484844
AC002398.9	0.566166887025123	0.700784400737999	0.679758649224274	0.708955884603472	0.758245310498246	0.661802930803845	0.78485205215329	0.547311435267596	0.625122604137077	0.660446389763488	0.716967218785693	0.688134778095583	0.792599265208765
AC002472.1	1.20610369111279	1.11249249210197	0.925162466897726	1.16522429723495	1.0519044691615	1.04940932770699	1.02893867497419	1.2441387515119	1.09778697998621	1.10448994209276	1.12825191548794	1.19611910453019	1.19596227268633
AC002472.13	0.568965984511342	0.80076584717591	0.536315899093943	0.883408774974091	0.450157028680521	1.33164487533456	0.838085259890464	0.529962613969228	0.465106107845339	0.393504324120832	0.466291320432905	0.810588665955588	1.49241069485204
AC002985.3	0.52259640565654	0.832133175225952	0.681269483821085	0.616463781605375	0.931068783084131	0.881480502247694	0.963874299540606	0.488703317850434	0.674523761022473	0.691659057409459	0.719918480753186	0.971865070407793	1.0717273632087
