Gene	ModuleColor	kWithin
230	ACLY	grey	4.08852188572714
231	ACN9	brown	10.8027268478295
232	ACO1	midnightblue	2.10049542956244
233	ACO2	white	13.5589757362027
234	ACOT1	grey	2.11466117378655
235	ACOT11	grey	3.1501283769747
236	ACOT12	salmon	2.54846119554136
237	ACOT13	grey	1.2388663421249
238	ACOT2	grey	1.56762110904055
239	ACOT4	grey	2.60042207463381
240	ACOT6	lightgreen	1.1793800965361
241	ACOT7	grey	3.79801676898932
242	ACOT8	grey	3.70299996896616
243	ACOT9	grey	1.70779049978351
244	ACOX1	blue	20.5141804465618
245	ACOX2	blue	18.8130410080773
246	ACOX3	lightgreen	2.55979242586996
247	ACOXL	grey	4.54506043398019
248	ACP1	grey	3.18621062882979
249	ACP2	orange	5.34868209654904
250	ACP5	purple	0.846741686749485
251	ACP6	lightgreen	0.478969402566726
252	ACPL2	lightgreen	1.38777845045801
253	ACPP	grey	0.862926059220544
254	ACR	brown	1.61448577021475
255	ACRBP	yellow	19.1054520873672
256	ACRC	yellow	11.8997594644692
257	ACRV1	grey	2.54620249688905
258	ACSBG1	blue	12.790372295283
259	ACSBG2	yellow	5.66040521019255
260	ACSF2	blue	23.482628406734
261	ACSF3	grey	3.40112680772207
262	ACSL1	darkturquoise	3.82149695150628
263	ACSL3	grey	3.99209931606419
264	ACSL4	salmon	3.2666422692588
265	ACSL5	turquoise	6.42519678312282
266	ACSL6	blue	10.0383696327224
267	ACSM1	grey	1.4885854832669
268	ACSM3	turquoise	26.8289543967413
269	ACSM5	grey	2.56777831626531
270	ACSS1	blue	17.1678164338693
271	ACSS2	greenyellow	4.9167027075548
272	ACSS3	grey	2.80155103446174
273	ACTA1	grey	2.07025811014719
274	ACTA2	grey	2.12453066844003
275	ACTB	royalblue	2.30392961484653
276	ACTC1	lightyellow	1.11460191218514
277	ACTG1	lightyellow	3.38496990067092
278	ACTL6A	black	8.45106340709212
279	ACTL6B	grey	1.82535596801973
280	ACTN1	lightyellow	7.69378318337118
281	ACTN2	darkgrey	1.80522816518247
282	ACTN4	grey	2.31721493310725
283	ACTR10	grey	3.61559080199003
284	ACTR1A	purple	0.800255700333788
285	ACTR1B	blue	6.61448923536892
286	ACTR2	pink	0.987009885666799
287	ACTR3	grey	2.57554963497578
288	ACTR3B	grey	2.98910598628848
289	ACTR3C	yellow	16.6898478740879
290	ACTR5	lightcyan	0.762701353785697
291	ACTR6	darkorange	3.19197099510022
292	ACTR8	grey	1.18266681200523
293	ACTRT3	blue	3.30617305418362
294	ACVR1	grey	2.43948030471729
295	ACVR1B	midnightblue	3.77066911946251
296	ACVR1C	grey	2.56581249101583
297	ACVR2A	lightcyan	1.84436565093102
298	ACVR2B	brown	5.32726261705028
299	ACVRL1	grey	6.07270698775365
300	ACY3	purple	3.47369064332777
301	ACYP1	lightcyan	4.61888599884937
302	ACYP2	brown	7.04385356616942
303	ADA	grey	5.1920148616229
304	ADAD2	grey	1.39858481428357
305	ADAL	purple	2.08479431581356
306	ADAM10	black	1.16055648766045
307	ADAM11	green	8.20541768077282
308	ADAM12	pink	9.45466510797436
309	ADAM15	grey	3.79096077982544
310	ADAM17	lightgreen	3.52141258997839
311	ADAM19	darkturquoise	2.08842823721633
312	ADAM20	brown	16.6428101337198
313	ADAM21	pink	0.544168170375488
314	ADAM22	skyblue	1.08431292352553
315	ADAM23	turquoise	11.9321148649228
316	ADAM28	saddlebrown	11.9966913255365
317	ADAM29	tan	1.17025310026701
318	ADAM32	brown	3.90822489714607
319	ADAM33	grey	1.74206433983582
320	ADAM8	tan	1.02290466588
321	ADAM9	grey	4.22922704131709
322	ADAMTS1	lightyellow	0.873039930754113
323	ADAMTS10	grey	5.62771947151716
324	ADAMTS12	magenta	0.747525739833723
325	ADAMTS13	green	4.76841112205871
326	ADAMTS14	grey	4.69450745787563
327	ADAMTS15	pink	3.32903340367068
328	ADAMTS16	grey	2.67229842109882
329	ADAMTS17	grey	2.71078529870358
330	ADAMTS18	grey	1.13234486603076
331	ADAMTS19	greenyellow	1.75647621062701
332	ADAMTS2	grey	3.02850908373263
