Gene	ModuleColor	kWithin
264	ACRBP	turquoise	33.1081387257531
265	ACRC	pink	7.8096705671006
266	ACRV1	red	1.74496848814292
267	ACSBG1	grey	4.7434002890975
268	ACSBG2	turquoise	29.7424007390024
269	ACSF2	grey	3.8429890955023
270	ACSF3	black	5.35731253390393
271	ACSL1	brown	3.13635107589063
272	ACSL3	grey	7.44145011019578
273	ACSL4	orange	4.96499857228844
274	ACSL5	grey	6.2308017301412
275	ACSL6	grey	4.77827461759758
276	ACSM1	grey	4.54782118073171
277	ACSM3	turquoise	5.65466046594844
278	ACSM5	darkgrey	1.74307954843098
279	ACSS1	grey	2.81707178128596
280	ACSS2	turquoise	12.8988988621257
281	ACSS3	blue	6.20472249117229
282	ACTA1	tan	1.62265740256074
283	ACTA2	grey	4.68517813598121
284	ACTB	green	1.90587271157356
285	ACTC1	grey	2.86395714241599
286	ACTG1	red	3.01912045251968
287	ACTL10	grey	3.03621144983629
288	ACTL6A	brown	15.8548015979774
289	ACTL6B	grey	1.44820529651425
290	ACTN1	red	13.2731364532637
291	ACTN2	brown	1.64079601476212
292	ACTN4	grey	2.81535804631056
293	ACTR10	lightgreen	3.81911922362889
294	ACTR1A	greenyellow	1.6580516844628
295	ACTR1B	brown	2.67667309762056
296	ACTR2	grey	3.59229923125896
297	ACTR3	yellow	3.92001191943184
298	ACTR3B	grey	2.88452640413855
299	ACTR3C	grey	1.53632387527352
300	ACTR5	grey	2.80526042208094
301	ACTR6	brown	8.70234773201358
302	ACTR8	grey	1.30599756481091
303	ACTRT1	grey	1.11379559541858
304	ACTRT3	turquoise	13.1480267364408
305	ACVR1	lightgreen	5.27083842726777
306	ACVR1B	darkturquoise	1.03022252260324
307	ACVR1C	lightgreen	2.41702671057787
308	ACVR2A	grey	10.894601106652
309	ACVR2B	grey	6.18460310456644
310	ACVRL1	grey	5.25463191317146
311	ACY3	salmon	5.03699868916015
312	ACYP1	yellow	3.83333875902587
313	ACYP2	cyan	3.14796865527693
314	ADA	grey	4.26841991379982
315	ADAD2	grey	8.21130260046209
316	ADAL	grey	5.69335668424316
317	ADAM10	turquoise	7.04350934903441
318	ADAM11	darkorange	1.72137557025264
319	ADAM12	lightyellow	4.38490109185875
320	ADAM15	red	6.60897795084394
321	ADAM17	grey	5.09289453873008
322	ADAM19	grey	2.43771613481597
323	ADAM20	grey	3.42098802868538
324	ADAM21	yellow	1.14126758332462
325	ADAM22	lightgreen	7.33293076268459
326	ADAM23	blue	10.6980495566165
327	ADAM28	pink	8.48174976347857
328	ADAM29	darkturquoise	0.163840011011375
329	ADAM32	grey	4.63471869721871
330	ADAM33	blue	2.07794296621945
331	ADAM8	purple	8.68476690241596
332	ADAM9	blue	11.073328016401
333	ADAMTS1	brown	10.0861681002614
334	ADAMTS10	lightyellow	6.282539898327
335	ADAMTS12	grey	2.45151370628882
336	ADAMTS13	magenta	2.48231431397304
337	ADAMTS14	grey	4.09437616915818
338	ADAMTS15	blue	8.93578362786528
339	ADAMTS16	greenyellow	8.99844936384392
340	ADAMTS17	grey	7.62260922642696
341	ADAMTS18	grey	2.68181344045056
342	ADAMTS19	green	2.20629142878422
343	ADAMTS2	grey	3.35634375855489
344	ADAMTS20	royalblue	2.01662087380232
345	ADAMTS3	brown	3.1652791419756
346	ADAMTS4	brown	11.6041143611892
347	ADAMTS5	grey	2.48671144218597
348	ADAMTS6	blue	8.00721826686763
349	ADAMTS7	cyan	0.854685556427977
350	ADAMTS8	grey	1.89394214454147
351	ADAMTS9	grey	2.59533927207708
352	ADAMTSL1	orange	3.39642756220701
353	ADAMTSL2	purple	0.37799032189377
354	ADAMTSL3	lightcyan	0.781956980647638
355	ADAMTSL4	blue	15.8881676739038
356	ADAMTSL4-AS1	magenta	1.78277480443319
357	ADAMTSL5	grey	2.53642529687191
358	ADAP1	turquoise	2.92296225123795
359	ADAP2	pink	3.12864254261375
360	ADAR	lightyellow	8.30896840668206
361	ADARB1	green	4.05317968724232
362	ADARB2	cyan	6.30038444112858
363	ADAT1	grey	3.67334864648405
364	ADAT2	grey	3.54433441982581
365	ADC	yellow	1.26610035750847
366	ADCK1	greenyellow	2.03877508746637
367	ADCK2	turquoise	6.98530636914711
368	ADCK3	greenyellow	2.45209248723486
369	ADCK4	lightyellow	7.32570773310905
370	ADCK5	grey	3.83343211408347
371	ADCY1	green	6.49118789529998
372	ADCY10	grey	3.08928510545087
373	ADCY2	red	3.03223497496323
374	ADCY3	grey	4.41424785646692
375	ADCY4	grey	4.18314116636045
376	ADCY5	darkturquoise	3.301133793502
377	ADCY6	grey	3.41628522193442
378	ADCY7	pink	6.99734013818502
379	ADCY8	magenta	1.95571250730474
380	ADCY9	greenyellow	3.97980716600713
381	ADCYAP1	grey	2.97102010507538
382	ADCYAP1R1	grey	4.28204858557658
383	ADD1	grey	4.73140455372657
384	ADD2	grey	1.40145846130921
385	ADD3	darkgrey	1.5374042981427
386	ADGB	blue	24.9050857638934
387	ADH1B	grey	2.65472232902289
388	ADH5	greenyellow	2.43745289102236
389	ADHFE1	grey	3.96905145776547
390	ADI1	grey	5.42106996223024
391	ADIG	grey	4.23166277271479
392	ADIPOR1	grey	6.96373299648094
393	ADIPOR2	turquoise	21.311356623204
394	ADIRF	grey	4.07911188555751
395	ADK	blue	8.83001674343259
396	ADM	grey	3.5336877956472
397	ADM5	grey	1.73460575023747
398	ADNP	turquoise	9.37089862360145
399	ADNP2	turquoise	9.97483855136792
400	ADO	brown	25.7031773629227
401	ADORA1	salmon	5.19116334225214
402	ADORA2B	grey	4.87494193090699
403	ADORA3	pink	5.4506523249864
404	ADPGK	red	9.30876582408642
405	ADPRH	purple	2.56233678604183
406	ADPRHL1	purple	3.35665615306
407	ADPRHL2	brown	6.36624637600073
408	ADPRM	grey	4.96819135615355
409	ADRA1A	greenyellow	8.27770615973344
410	ADRA1B	green	1.90745938498454
411	ADRA1D	brown	3.45049794143556
412	ADRA2A	grey	3.75784156317435
413	ADRA2B	grey	2.74097519684995
414	ADRA2C	grey	2.98861297172899
415	ADRB1	blue	3.68323651368602
416	ADRB2	magenta	4.98723223009254
417	ADRB3	grey	6.23484224813319
418	ADRBK1	green	14.6168613083252
419	ADRBK2	grey	1.85125452275783
420	ADRM1	grey60	1.28300968578884
421	ADSL	magenta	2.3832804773577
422	ADSS	brown	9.51743145226743
423	ADSSL1	brown	4.26965575340604
424	ADTRP	blue	14.736520438402
425	AEBP1	grey	2.98721573676404
426	AEBP2	tan	4.39835295506919
427	AEN	grey	2.35433737086561
428	AES	grey60	4.34254207196142
429	AF165138.7	grey	5.13977283475592
430	AFAP1	lightyellow	7.97233277376471
431	AFAP1L1	grey	2.53892714399854
432	AFAP1L2	magenta	3.18100042426317
433	AFF1	yellow	5.92936081516577
434	AFF2	grey	2.76844166377832
435	AFF3	pink	4.10229076466743
436	AFF4	blue	3.17278924703453
437	AFG3L2	darkorange	3.62170917245374
438	AFMID	brown	3.4226923060995
439	AFP	grey	4.57043729368623
440	AFTPH	turquoise	5.32657408430222
441	AGA	white	6.57299024105992
442	AGAP1	royalblue	4.97823491215134
443	AGAP10	lightcyan	0.531043546822354
444	AGAP2	green	13.1788663675692
445	AGAP2-AS1	green	3.67363077331337
446	AGAP3	green	12.975234544089
447	AGAP4	grey	3.34861082872479
448	AGAP5	darkgreen	1.84039505944516
449	AGAP6	purple	3.70308806203875
450	AGAP7	grey	1.52157796974393
451	AGAP8	grey	2.59991388699982
452	AGAP9	magenta	1.29563499170265
453	AGBL1	blue	27.1700312001029
454	AGBL2	blue	29.1811175657557
455	AGBL3	grey	1.98353734151376
456	AGBL4	tan	8.00432508471149
457	AGBL5	grey60	0.408429713615147
458	AGER	midnightblue	2.79736014161802
459	AGFG1	brown	5.14298943887771
460	AGFG2	salmon	2.24520220224847
461	AGGF1	grey	2.52303641418746
462	AGK	grey	2.6345563246057
463	AGL	white	3.11078839638635
464	AGMAT	grey	2.46346391917051
465	AGMO	grey	4.12765053901315
466	AGO1	grey	6.11364820090067
467	AGO2	purple	4.01716743727326
468	AGO3	grey	3.57693623521959
469	AGO4	black	3.92836839959639
470	AGPAT1	tan	3.98001712693057
471	AGPAT2	blue	8.64041746074207
472	AGPAT3	grey	2.47267876756936
473	AGPAT4	brown	10.8276555851214
474	AGPAT5	grey	5.7843695436311
475	AGPAT6	grey	4.13339090903027
476	AGPAT9	grey	3.49337469654764
477	AGPS	turquoise	10.3497822398693
478	AGR3	lightcyan	1.95441618215235
479	AGRN	grey	2.12216451173758
480	AGT	grey	7.62969124703845
481	AGTPBP1	turquoise	6.12278234805373
482	AGTR1	darkred	0.710776185440288
483	AGTRAP	blue	3.69342079754491
484	AGXT2	grey	2.10982976003601
485	AHCTF1	turquoise	11.6487298669559
486	AHCY	grey	2.05267936134787
487	AHCYL1	grey	8.43837935567778
488	AHCYL2	blue	1.7735717901132
489	AHDC1	tan	2.46063754234642
490	AHI1	grey	1.36504043125828
491	AHNAK	grey	9.23687422045633
492	AHNAK2	blue	12.7594474073403
493	AHR	brown	13.8898715247365
494	AHRR	salmon	1.39608950580205
495	AHSA1	turquoise	16.1351691352453
496	AHSA2	turquoise	9.94562779420939
497	AHSG	blue	9.88037747700708
498	AIDA	blue	4.19310243228622
499	AIF1	pink	5.15336686064593
500	AIF1L	grey	2.1918299518904
501	AIFM1	brown	0.884069747041645
502	AIFM2	grey	2.10708692634559
503	AIFM3	darkgreen	1.38766343027986
504	AIG1	grey	1.4807817309688
505	AIM1	blue	3.39158167569572
506	AIM2	grey	4.82930838028934
507	AIMP1	white	2.26207265027127
508	AIMP2	greenyellow	5.77343049554853
509	AIP	brown	4.57548996024502
510	AIRE	black	1.92692662348869
511	AJAP1	green	5.65494224887187
512	AJUBA	grey	2.08419924162704
513	AK1	blue	5.50756250596976
514	AK2	purple	3.10688241647108
515	AK3	royalblue	1.01677614683453
516	AK4	lightyellow	1.35566531140961
517	AK5	tan	2.68504149924695
518	AK7	blue	15.7297802273274
519	AK8	lightyellow	9.24386731975097
520	AK9	grey	5.1209363340187
521	AKAP1	turquoise	2.83434562608045
522	AKAP10	grey60	0.443594152021818
523	AKAP11	grey	4.06061794997384
524	AKAP12	grey	7.96379901106843
525	AKAP13	lightyellow	9.85225343457792
526	AKAP14	lightcyan	1.06783973129779
527	AKAP17A	white	2.29114828327784
528	AKAP3	grey	2.3677434094884
529	AKAP5	turquoise	9.02590766562447
530	AKAP6	grey	3.07848815476423
531	AKAP7	red	0.867949431319749
532	AKAP8	black	1.40120426725728
533	AKAP8L	black	10.2752425767709
534	AKAP9	grey	3.59364558499623
535	AKIP1	brown	0.811833485760546
536	AKIRIN1	grey	2.36466152178645
537	AKIRIN2	magenta	1.78926613156652
538	AKNA	grey	3.16395985181814
539	AKNAD1	grey	3.11211229846696
540	AKR1A1	greenyellow	4.95480263157972
541	AKR1B1	brown	3.86361534351728
542	AKR1C1	red	3.37997648132263
543	AKR1C2	cyan	1.7286243631026
544	AKR1C3	green	0.825096228052029
545	AKR1CL1	tan	1.55131852858935
546	AKR1D1	grey	2.04864221017343
547	AKR1E2	grey	3.17496879356528
548	AKR7A2	white	2.41160000785083
549	AKR7A3	grey	4.15709846339441
550	AKT1	grey	4.38726888990891
551	AKT1S1	green	6.50620226786984
552	AKT2	black	4.39670134201465
553	AKT3	royalblue	2.35138622832185
554	AKTIP	turquoise	15.839125826758
555	AL020996.1	grey	1.7466861634851
556	AL021546.6	midnightblue	3.63320382557717
557	AL031663.2	turquoise	15.8596416085096
558	AL033381.1	grey	6.7681046493061
559	AL049829.1	yellow	1.3573354180025
560	AL049840.1	turquoise	24.3060284034452
561	AL078585.1	grey	5.59427987822167
562	AL079342.1	grey	1.73690275888777
563	AL096677.1	grey	3.16506135279439
564	AL117190.2	red	4.18871335179019
565	AL117190.3	salmon	0.537175112101942
566	AL133373.1	grey	2.38414457961581
567	AL136376.1	grey	1.75022717827101
568	AL136531.1	tan	3.56443434496206
569	AL162431.1	grey	3.30166577871703
570	AL353698.1	grey	3.54045400587359
571	AL353791.1	grey	2.91156893648858
572	AL354718.1	green	3.73387267438641
573	AL355490.1	midnightblue	3.15496002392951
574	AL359091.2	grey	2.27692098272776
575	AL359878.1	red	9.36217346871875
576	AL441883.1	magenta	3.24426076085206
577	AL450307.1	cyan	12.1227518858952
578	AL590452.1	turquoise	6.28482434647172
579	AL590708.2	darkgrey	2.07040840928904
580	AL590822.1	grey	1.86213735975557
581	AL590822.2	turquoise	1.70595388349578
582	AL590867.1	grey	4.28355496932815
583	AL591479.1	green	1.07600405966224
584	AL592284.1	grey	1.74691399619921
585	AL627309.1	yellow	1.32982640591692
586	AL645728.1	turquoise	3.78849276317673
587	AL807752.1	grey	2.9567829583351
588	AL953854.2	purple	3.80359041068859
589	ALAD	grey	3.10925693377837
590	ALAS1	tan	0.671218641462804
591	ALAS2	blue	3.80619322458349
592	ALB	black	5.8997069538573
593	ALCAM	turquoise	20.0431893877721
594	ALDH16A1	magenta	1.83344375347685
595	ALDH18A1	lightyellow	5.92236586621976
596	ALDH1A1	darkgreen	1.97020396429293
597	ALDH1A2	greenyellow	5.85535486784498
598	ALDH1A3	grey	2.43862153844601
599	ALDH1B1	darkred	1.86886519182896
600	ALDH1L1	blue	11.2026724189272
601	ALDH1L2	black	8.45222121394883
602	ALDH2	grey	5.81625319703113
603	ALDH3A1	grey	1.35168076805473
604	ALDH3A2	salmon	2.01457674564807
605	ALDH3B1	grey	3.29926800531657
606	ALDH5A1	darkgreen	1.08035195815289
607	ALDH6A1	grey	8.21352806445063
608	ALDH7A1	grey	6.22899605261713
609	ALDH8A1	grey	2.53176949374817
610	ALDH9A1	lightgreen	1.27765425213136
611	ALDOA	grey	3.83262458261315
612	ALDOB	grey	6.41007690872545
613	ALG1	salmon	1.85150743304781
614	ALG10	midnightblue	4.10903645567151
615	ALG10B	grey	3.76368754817049
616	ALG11	lightgreen	5.96951255532491
617	ALG12	purple	1.0435664172182
618	ALG13	midnightblue	0.834213436698501
619	ALG14	grey	3.15308494328943
620	ALG1L	grey	1.43392190406874
621	ALG2	brown	2.87715312001341
622	ALG3	yellow	4.62956511617237
623	ALG5	grey	1.93796406386728
624	ALG6	white	2.94771787004756
625	ALG8	purple	1.28895235862648
626	ALG9	cyan	3.96734388045906
627	ALK	cyan	4.17078317343719
628	ALKBH1	grey	2.60982789114055
629	ALKBH2	brown	2.34893733560643
630	ALKBH3	magenta	2.46951378494079
631	ALKBH4	turquoise	1.73168406354383
632	ALKBH5	grey	2.77563291612419
633	ALKBH6	blue	0.932069095742389
634	ALKBH7	turquoise	4.99184859202415
635	ALKBH8	grey	3.47200271347766
636	ALLC	grey	4.31673834141041
637	ALMS1	grey	2.53530186991537
638	ALOX12B	grey	2.43181168041169
639	ALOX15	turquoise	8.04949782749962
640	ALOX15B	grey	5.10699620381894
641	ALOX5	grey	5.04275148860455
642	ALOX5AP	pink	4.31267118114005
643	ALOXE3	turquoise	8.35613340983333
644	ALPK1	magenta	4.5277443906007
645	ALPK2	grey	4.63288286835353
646	ALPK3	grey	4.78358346743126
647	ALPL	grey	4.59933896155082
648	ALS2	grey	2.14072476659093
649	ALS2CL	royalblue	0.809781974098674
650	ALS2CR11	grey	2.96121110349863
651	ALS2CR12	grey	1.57522976345347
652	ALX4	blue	13.8287271440278
653	ALYREF	grey	2.39005150743331
654	AMACR	darkred	2.3412227473114
655	AMBRA1	grey	3.89084192184795
656	AMD1	turquoise	12.1876253131049
657	AMDHD1	turquoise	1.63016750830182
658	AMDHD2	black	3.56860746333536
659	AMER1	grey	5.85196737142391
660	AMER2	brown	17.1734416585385
661	AMER3	green	2.52941210738954
662	AMFR	grey	4.0634179836481
663	AMH	grey	1.79841227492852
664	AMICA1	grey	3.14831980698374
665	AMIGO1	skyblue	3.63356078277303
